AREA,NombreP,Shape_Leng,Shape_Area
42.58000000000,Central,27.21130180940,42.58484907010
42.57000000000,Central,27.21231734390,42.57923179750
110.96000000000,Alfredo Gonzalez,57.78697790770,110.98385889000
172.44000000000,Alfredo Gonzalez,54.50475300320,172.47019325400
473.08000000000,Alfredo Gonzalez,99.81060104040,473.16879184500
525.28000000000,Central,113.79392082500,525.37927227600
683.94000000000,Central,105.10281823700,684.06431608800
847.66000000000,Central,116.76204976800,847.81623214300
514.29000000000,Central,108.44179831400,514.37698877500
224.03000000000,El Carmen,76.91699672360,224.07362370500
223.83000000000,El Carmen,75.35673999230,223.87346231700
222.75000000000,El Carmen,76.81500675110,222.79261494900
224.05000000000,El Carmen,75.48747266450,224.09557176100
542.92000000000,Alfredo Gonzalez,186.95258769000,543.01923953500
298.30000000000,Alfredo Gonzalez,88.88569714510,298.35016693900
261.50000000000,Alfredo Gonzalez,77.50686034770,261.54850993200
451.02000000000,Alfredo Gonzalez,97.56132822700,451.09629879800
469.27000000000,Jardines de la Parroquia,90.67605027330,469.35807775400
401.20000000000,Jardines de la Parroquia,86.50054620630,401.26736612500
219.04000000000,Jardines de la Parroquia,88.34777550770,219.07523254800
248.38000000000,Jardines de la Parroquia,68.25344597020,248.42301974400
364.27000000000,Jardines de la Parroquia,75.98686252360,364.34017864800
359.70000000000,Jardines de la Parroquia,75.84303035460,359.76684792200
297.10000000000,Jardines de la Parroquia,69.50925684630,297.14896549800
236.44000000000,Jardines de la Parroquia,90.43688865230,236.47889842800
223.35000000000,El Carmen,77.08067266870,223.38866972500
223.92000000000,El Carmen,75.50073282260,223.95981027600
223.41000000000,El Carmen,76.88377202540,223.45000664800
223.29000000000,El Carmen,75.50512427640,223.33497373600
184.70000000000,Alfredo Gonzalez,73.99775498120,184.72982296600
700.37000000000,Fortin,168.21756989400,700.49638417600
6166.79000000000,Los Angeles,312.16970780300,6167.89875431000
1241.21000000000,Mercedes 1,247.34305492200,1241.43370356000
1225.96000000000,Mercedes 2,199.61338551700,1226.17621379000
1638.75000000000,Sur,162.50655234900,1639.04724310000
986.43000000000,Maria Auxiliadora,125.81487936900,986.60668943700
